Id,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtUnfSF,TotalBsmtSF,LowQualFinSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice,ExterQual_Ex,ExterQual_Fa,ExterQual_Gd,ExterQual_TA,KitchenQual_Ex,KitchenQual_Fa,KitchenQual_Gd,KitchenQual_TA,Expensive_Neighborhood,HomeQuality,YearsSinceLastRemodel,House_SF,Total_Baths
11,11200,5,5,1965,1965,0.0,134,1040,0,1040,3,1,5,0,1965.0,1,384,0,0,0,0,0,0,0,2,2008,11.771443882099637,0,0,0,1,0,0,0,1,0.0,10,43,1946,2.0
12,11924,9,5,2005,2006,286.0,177,1175,0,2324,4,1,11,2,2005.0,3,736,147,21,0,0,0,0,0,7,2006,12.75130259456002,1,0,0,0,1,0,0,0,1.0,14,0,3322,4.0
13,12968,5,6,1962,1962,0.0,175,912,0,912,2,1,4,0,1962.0,1,352,140,0,0,0,176,0,0,9,2008,11.87757552297847,0,0,0,1,0,0,0,1,0.0,11,46,1649,2.0
14,10652,7,5,2006,2007,306.0,1494,1494,0,1494,3,1,7,1,2006.0,3,840,160,33,0,0,0,0,0,8,2007,12.540761149388421,0,0,1,0,0,0,1,0,0.0,12,0,1494,2.0
15,10920,6,5,1960,1960,212.0,520,1253,0,1253,2,1,5,1,1960.0,1,352,0,213,176,0,0,0,0,5,2008,11.964007453736912,0,0,0,1,0,0,0,1,0.0,11,48,1986,2.8
16,6120,7,8,1929,2001,0.0,832,832,0,854,2,1,5,0,1991.0,2,576,48,112,0,0,0,0,0,7,2007,11.790564777297387,0,0,0,1,0,0,0,1,0.0,15,6,854,1.0
17,11241,6,7,1970,1970,180.0,426,1004,0,1004,2,1,5,1,1970.0,2,480,0,0,0,0,0,0,700,3,2010,11.91170829631447,0,0,0,1,0,0,0,1,0.0,13,40,1582,2.0
18,10791,4,5,1967,1967,0.0,0,0,0,1296,2,2,6,0,1967.0,2,516,0,0,0,0,0,0,500,10,2006,11.407576060361786,0,0,0,1,0,0,0,1,0.0,9,39,1296,2.0
19,13695,5,5,2004,2004,0.0,468,1114,0,1114,3,1,6,0,2004.0,2,576,0,102,0,0,0,0,0,6,2008,11.976665770490767,0,0,0,1,0,0,1,0,0.0,10,4,1760,2.8
20,7560,5,6,1958,1965,0.0,525,1029,0,1339,3,1,6,0,1958.0,1,294,0,0,0,0,0,0,0,5,2009,11.842236406331555,0,0,0,1,0,0,0,1,0.0,11,44,1843,1.0
21,14215,8,5,2005,2006,380.0,1158,1158,0,2376,4,1,9,1,2005.0,3,853,240,154,0,0,0,0,0,11,2006,12.692506186542177,0,0,1,0,0,0,1,0,1.0,13,0,2376,3.8
22,7449,7,7,1930,1950,0.0,637,637,0,1108,3,1,6,1,1930.0,1,280,0,0,205,0,0,0,0,6,2007,11.845109950883979,0,0,0,1,0,0,1,0,0.0,14,57,1108,1.0
23,9742,8,5,2002,2002,281.0,1777,1777,0,1795,3,1,7,1,2002.0,2,534,171,159,0,0,0,0,0,9,2008,12.345838935721968,0,0,1,0,0,0,1,0,0.0,13,6,1795,2.0
24,4224,5,7,1976,1976,0.0,200,1040,0,1060,3,1,6,1,1976.0,2,572,100,110,0,0,0,0,0,6,2007,11.774527900858468,0,0,0,1,0,0,0,1,0.0,12,31,1900,2.0
25,8246,5,8,1968,2001,0.0,204,1060,0,1060,3,1,6,1,1968.0,1,270,406,90,0,0,0,0,0,5,2010,11.944714374881176,0,0,0,1,0,0,1,0,0.0,13,9,1916,2.0
26,14230,8,5,2007,2007,640.0,1566,1566,0,1600,3,1,7,1,2007.0,3,890,0,56,0,0,0,0,0,7,2009,12.454107814022272,0,0,1,0,0,0,1,0,1.0,13,2,1600,2.0
27,7200,5,7,1951,2000,0.0,180,900,0,900,3,1,5,0,2005.0,2,576,222,32,0,0,0,0,0,5,2010,11.811554895830454,0,0,0,1,0,0,1,0,0.0,12,10,1620,1.8
28,11478,8,5,2007,2008,200.0,486,1704,0,1704,3,1,7,1,2008.0,3,772,0,50,0,0,0,0,0,5,2010,12.631343648903034,0,0,1,0,0,0,1,0,1.0,13,2,2922,3.0
29,16321,5,6,1957,1997,0.0,207,1484,0,1600,2,1,6,2,1957.0,1,319,288,258,0,0,0,0,0,12,2006,12.242891437918386,0,0,0,1,0,0,0,1,0.0,11,9,2877,2.0
30,6324,4,6,1927,1950,0.0,520,520,0,520,1,1,4,0,1920.0,1,240,49,0,87,0,0,0,0,5,2008,11.134603622683905,0,0,0,1,0,1,0,0,0.0,10,58,520,1.0
32,8544,5,6,1966,2006,0.0,1228,1228,0,1228,3,1,6,0,1966.0,1,271,0,65,0,0,0,0,0,6,2008,11.914054519303125,0,0,0,1,0,0,1,0,0.0,11,2,1228,1.8
33,11049,8,5,2007,2007,0.0,1234,1234,0,1234,3,1,7,0,2007.0,2,484,0,30,0,0,0,0,0,1,2008,12.100161978566867,0,0,1,0,0,0,1,0,0.0,13,1,1234,2.0
34,10552,5,5,1959,1959,0.0,380,1398,0,1700,4,1,6,1,1959.0,2,447,0,38,0,0,0,0,0,4,2010,12.016732516077072,0,0,0,1,0,0,1,0,0.0,10,51,2718,2.6
35,7313,9,5,2005,2005,246.0,408,1561,0,1561,2,1,6,1,2005.0,2,556,203,47,0,0,0,0,0,8,2007,12.533579815765737,1,0,0,0,1,0,0,0,1.0,14,2,2714,3.0
36,13418,8,5,2004,2005,132.0,1117,1117,0,2452,4,1,9,1,2004.0,3,691,113,32,0,0,0,0,0,9,2006,12.6410997921206,0,0,1,0,0,0,1,0,1.0,13,1,2452,3.8
37,10859,5,5,1994,1995,0.0,1097,1097,0,1097,3,1,6,0,1995.0,2,672,392,64,0,0,0,0,0,6,2009,11.884495917930655,0,0,0,1,0,0,0,1,0.0,10,14,1097,1.8
38,8532,5,6,1954,1990,650.0,84,1297,0,1297,3,1,5,1,1954.0,2,498,0,0,0,0,0,0,0,10,2009,11.938199736300925,0,0,0,1,0,0,0,1,0.0,11,19,2510,1.8
39,7922,5,7,1953,2007,0.0,326,1057,0,1057,3,1,5,0,1953.0,1,246,0,52,0,0,0,0,0,1,2010,11.599112335481124,0,0,0,1,0,0,1,0,0.0,12,3,1788,2.0
40,6040,4,5,1955,1955,0.0,0,0,0,1152,2,2,6,0,1980.0,0,0,0,0,0,0,0,0,0,6,2008,11.314486721293981,0,0,0,1,0,1,0,0,0.0,9,53,1152,2.0
41,8658,6,5,1965,1965,101.0,445,1088,0,1324,3,1,6,1,1965.0,2,440,0,138,0,0,0,0,0,12,2006,11.982935344196433,0,0,0,1,0,0,0,1,0.0,11,41,1967,2.0
42,16905,5,6,1959,1959,0.0,383,1350,0,1328,2,1,5,2,1959.0,1,308,0,104,0,0,0,0,0,7,2007,12.04355959836804,0,0,0,1,0,0,0,1,0.0,11,48,2295,2.6
43,9180,5,7,1983,1983,0.0,0,840,0,884,2,1,5,0,1983.0,2,504,240,0,0,0,0,0,0,12,2007,11.87757552297847,0,0,0,1,0,0,1,0,0.0,12,24,1724,2.0
44,9200,5,6,1975,1980,0.0,167,938,0,938,3,1,5,0,1977.0,1,308,145,0,0,0,0,0,0,7,2008,11.777218637129327,0,0,0,1,0,0,0,1,0.0,11,28,1709,2.0
45,7945,5,6,1959,1959,0.0,465,1150,0,1150,3,1,6,0,1959.0,1,300,0,0,0,0,0,0,0,5,2006,11.856522261533737,0,0,0,1,0,0,0,1,0.0,11,47,1835,2.0
46,7658,9,5,2005,2005,412.0,1296,1752,0,1752,2,1,6,1,2005.0,2,576,196,82,0,0,0,0,0,2,2010,12.675766851909591,1,0,0,0,1,0,0,0,1.0,14,5,2208,3.0
47,12822,7,5,2003,2003,0.0,83,1434,0,2149,1,1,6,1,2003.0,2,670,168,43,0,0,198,0,0,8,2009,12.387089184491993,0,0,1,0,0,0,1,0,0.0,12,6,3500,2.8
48,11096,8,5,2006,2006,0.0,1632,1656,0,1656,3,1,7,0,2006.0,3,826,0,146,0,0,0,0,0,7,2007,12.428019481065613,0,0,1,0,0,0,1,0,1.0,13,1,1680,2.0
49,4456,4,5,1920,2008,0.0,736,736,0,1452,2,3,8,0,1980.0,0,0,0,0,102,0,0,0,0,6,2009,11.635151947212842,0,0,0,1,0,0,0,1,0.0,9,1,1452,2.0
50,7742,5,7,1966,1966,0.0,192,955,0,955,3,1,6,0,1966.0,1,386,0,0,0,0,0,0,0,1,2007,11.751950239425476,0,0,0,1,0,0,0,1,0.0,12,41,1718,2.0
51,13869,6,6,1997,1997,0.0,612,794,0,1470,3,1,6,0,1997.0,2,388,0,75,0,0,0,0,0,7,2007,12.083910661257521,0,0,0,1,0,0,0,1,0.0,12,10,1652,2.8
52,6240,6,6,1934,1950,0.0,816,816,360,1176,3,1,6,1,1985.0,2,528,112,0,0,0,0,0,400,9,2006,11.648338835562747,0,0,0,1,0,0,0,1,0.0,12,56,816,1.0
53,8472,5,5,1963,1963,0.0,0,816,0,816,2,1,5,0,1963.0,2,516,106,0,0,0,0,0,0,5,2010,11.608244735642321,0,1,0,0,0,0,0,1,0.0,10,47,1632,2.0
54,50271,9,5,1981,1987,0.0,32,1842,0,1842,0,1,5,1,1981.0,3,894,857,72,0,0,0,0,0,11,2006,12.861001210669146,0,0,1,0,0,0,1,0,0.0,14,19,3652,2.8
55,7134,5,5,1955,1955,0.0,0,384,0,1360,3,1,6,1,1962.0,2,572,0,50,0,0,0,0,0,2,2007,11.775297421715827,0,0,0,1,0,0,0,1,0.0,10,52,1744,1.0
56,10175,6,5,1964,1964,272.0,935,1425,0,1425,3,1,7,1,1964.0,2,576,0,0,0,407,0,0,0,7,2008,12.103491596905931,0,0,0,1,0,0,0,1,0.0,11,44,1915,2.0
57,2645,8,5,1999,2000,456.0,321,970,0,1739,3,1,7,0,1999.0,2,480,115,0,0,0,0,0,0,8,2009,12.058158312538197,0,0,1,0,0,0,1,0,1.0,13,9,2388,3.8
58,11645,7,5,2004,2004,0.0,860,860,0,1720,3,1,7,0,2004.0,2,565,0,70,0,0,0,0,0,8,2006,12.188422799337028,0,0,1,0,0,0,1,0,0.0,12,2,1720,2.8
59,13682,10,5,2006,2006,1031.0,1410,1410,0,2945,3,1,10,1,2006.0,3,641,192,0,37,0,0,0,0,10,2006,12.991755706536901,1,0,0,0,0,0,1,0,1.0,15,0,2945,3.8
60,7200,5,7,1972,1972,0.0,148,780,0,780,2,1,4,0,1973.0,1,352,196,0,0,0,0,0,0,1,2008,11.735276702486741,0,0,0,1,0,0,0,1,0.0,12,36,1412,1.0
61,13072,6,5,2004,2004,0.0,217,1158,0,1158,3,1,5,0,2006.0,2,576,0,50,0,0,0,0,0,5,2006,11.970356641102999,0,0,0,1,0,0,1,0,0.0,11,2,2099,2.8
62,7200,5,7,1920,1996,0.0,530,530,0,1111,3,1,6,0,1935.0,1,288,0,0,144,0,0,0,0,3,2007,11.522885696764481,0,0,0,1,0,1,0,0,0.0,12,11,1111,1.0
63,6442,8,5,2006,2006,178.0,1346,1370,0,1370,2,1,6,1,2006.0,2,484,120,49,0,0,0,0,0,10,2007,12.218500103788143,0,0,1,0,0,0,1,0,1.0,13,1,1394,2.0
64,10300,7,6,1921,1950,0.0,576,576,0,1710,3,1,9,0,1990.0,2,480,12,11,64,0,0,0,0,4,2010,11.849404844423074,0,0,0,1,0,0,0,1,0.0,13,60,1710,2.0
65,9375,7,5,1997,1998,573.0,318,1057,0,2034,3,1,8,0,1998.0,2,645,576,36,0,0,0,0,0,2,2009,12.299112067295642,0,0,0,1,0,0,1,0,0.0,12,11,2773,3.8
66,9591,8,5,2004,2005,344.0,1143,1143,0,2473,4,1,9,1,2004.0,3,852,192,151,0,0,0,0,0,10,2007,12.666660207428574,0,0,1,0,0,0,1,0,1.0,13,2,2473,2.8
67,19900,7,5,1970,1989,287.0,1035,1947,0,2207,3,1,7,1,1970.0,2,576,301,0,0,0,0,0,0,7,2010,12.100717685412471,0,0,0,1,0,0,0,1,0.0,12,21,3119,3.0
68,10665,7,5,2003,2003,167.0,440,1453,0,1479,3,1,7,0,2003.0,2,558,144,29,0,0,0,0,0,6,2007,12.328294703023396,0,0,1,0,0,0,1,0,0.0,12,4,2492,3.0
69,4608,4,6,1945,1950,0.0,747,747,0,747,2,1,4,0,1945.0,1,220,0,0,0,0,0,0,0,6,2010,11.289794413577894,0,0,0,1,0,0,0,1,0.0,10,60,747,1.0
70,15593,7,4,1953,1953,0.0,701,1304,0,2287,3,1,7,1,1953.0,2,667,0,21,114,0,0,0,0,7,2006,12.323860125621126,0,0,1,0,0,0,0,1,0.0,11,53,2890,2.0
71,13651,7,6,1973,1973,1115.0,343,2223,0,2223,3,1,8,2,1973.0,2,516,300,0,0,0,0,0,0,2,2007,12.404927602627597,0,0,0,1,0,0,0,1,0.0,13,34,4103,3.0
72,7599,4,6,1982,2006,0.0,280,845,0,845,2,1,4,0,1987.0,2,360,0,0,0,0,0,0,0,6,2007,11.771443882099637,0,0,0,1,0,0,0,1,0.0,10,1,1410,2.0
73,10141,7,5,1998,1998,40.0,832,832,0,1718,3,1,7,1,1998.0,2,427,0,94,0,0,291,0,0,12,2009,12.128116509451258,0,0,0,1,0,0,0,1,0.0,12,11,1718,2.8
74,10200,5,7,1954,2003,104.0,404,1086,0,1086,3,1,6,0,1989.0,2,490,0,0,0,0,0,0,0,5,2010,11.88380602959621,0,0,0,1,0,0,0,1,0.0,12,7,1768,2.0
75,5790,3,6,1915,1950,0.0,840,840,0,1605,3,2,8,0,1915.0,1,379,0,0,202,0,0,0,0,5,2010,11.58432477200052,0,0,1,0,0,0,0,1,0.0,9,60,1605,2.0
76,1596,4,5,1973,1973,0.0,0,462,0,988,2,1,5,0,1973.0,1,297,120,101,0,0,0,0,0,11,2009,11.418625774449598,0,0,0,1,0,0,0,1,0.0,9,36,1450,2.0
77,8475,4,7,1956,1956,0.0,724,952,0,952,2,1,4,0,1956.0,1,283,0,0,0,0,0,0,0,4,2008,11.818577604251555,0,0,0,1,0,0,0,1,0.0,11,52,1180,1.0
78,8635,5,5,1948,2001,0.0,295,672,0,1285,2,1,6,0,1948.0,1,240,0,0,0,0,0,0,0,1,2008,11.751950239425476,0,0,0,1,0,0,0,1,0.0,10,7,1662,2.0
79,10778,4,5,1968,1968,0.0,1768,1768,0,1768,4,2,8,0,1980.0,0,0,0,0,0,0,0,0,0,4,2010,11.824087219587643,0,0,0,1,0,0,0,1,0.0,9,42,1768,2.0
80,10440,5,6,1910,1981,0.0,440,440,0,1230,2,1,5,0,1966.0,2,440,74,0,128,0,0,0,0,5,2009,11.608244735642321,0,0,0,1,0,0,0,1,0.0,11,28,1230,1.8
81,13000,6,6,1968,1968,576.0,448,896,0,2142,4,1,8,1,1968.0,1,509,0,72,0,0,252,0,0,6,2009,12.173037959397275,0,0,0,1,0,0,1,0,0.0,12,41,2590,2.8
82,4500,6,5,1998,1998,443.0,36,1237,0,1337,2,1,5,0,1998.0,2,405,0,199,0,0,0,0,0,3,2006,11.941462360646149,0,0,0,1,0,0,0,1,0.0,11,8,2538,3.0
83,10206,8,5,2007,2007,468.0,1530,1563,0,1563,3,1,6,1,2007.0,3,758,144,99,0,0,0,0,0,10,2008,12.409017571151187,0,0,0,1,0,0,1,0,1.0,13,1,1596,2.0
84,8892,5,5,1960,1960,66.0,1065,1065,0,1065,3,1,6,0,1974.0,2,461,74,0,0,0,0,0,0,7,2007,11.748005492256807,0,0,0,1,0,0,0,1,0.0,10,47,1065,1.8
85,8530,7,5,1995,1996,22.0,384,384,0,1474,3,1,7,1,1995.0,2,400,120,72,0,0,0,0,700,5,2009,12.034696963475044,0,0,0,1,0,0,0,1,0.0,12,13,1474,2.8
86,16059,8,5,1991,1992,284.0,1288,1288,0,2417,4,1,9,1,1991.0,2,462,127,82,0,0,0,0,0,4,2006,12.468440756144114,0,0,1,0,0,0,1,0,1.0,13,14,2417,2.8
87,11911,6,5,2005,2005,0.0,684,684,0,1560,3,1,6,1,2005.0,2,400,100,38,0,0,0,0,0,3,2009,12.066816325306588,0,0,1,0,0,0,1,0,0.0,11,4,1560,2.8
88,3951,6,5,2009,2009,76.0,612,612,0,1224,2,1,4,0,2009.0,2,528,0,234,0,0,0,0,0,6,2009,12.010671928196443,0,0,1,0,0,0,1,0,1.0,11,0,1224,2.8
89,8470,3,2,1915,1982,0.0,1013,1013,513,1526,2,1,6,0,1980.0,0,0,0,0,156,0,0,0,0,10,2009,11.350418300109132,0,1,0,0,0,1,0,0,0.0,5,27,1013,1.0
90,8070,4,5,1994,1995,0.0,402,990,0,990,3,1,5,0,1980.0,0,0,0,0,0,0,0,0,0,8,2007,11.724813914587886,0,0,0,1,0,0,0,1,0.0,9,12,1578,2.0
91,7200,4,5,1950,1950,0.0,0,0,0,1040,2,1,4,0,1950.0,2,420,0,29,0,0,0,0,0,7,2006,11.60733523953139,0,0,0,1,0,0,0,1,0.0,9,56,1040,1.0
92,8500,5,3,1961,1961,203.0,635,1235,0,1235,2,1,6,0,1961.0,2,480,0,0,0,0,0,0,0,12,2006,11.498836682527127,0,0,0,1,0,0,0,1,0.0,8,45,1835,1.0
93,13360,5,7,1921,2006,0.0,163,876,0,964,2,1,5,0,1921.0,2,432,0,0,44,0,0,0,0,8,2009,12.004574385508691,0,0,0,1,0,0,0,1,1.0,12,3,1677,2.0
94,7200,6,6,1910,1998,0.0,168,1214,0,2291,4,2,9,1,1900.0,2,506,0,0,0,0,99,0,0,11,2007,11.804855999911272,0,0,0,1,0,0,0,1,0.0,12,9,3337,2.8
95,9337,6,5,1997,1997,0.0,176,824,0,1786,3,1,7,0,1997.0,2,684,0,162,0,0,0,0,0,5,2007,12.229549885708273,0,0,0,1,0,0,1,0,0.0,11,10,2434,3.8
96,9765,6,8,1993,1993,68.0,370,680,0,1470,3,1,6,1,1993.0,2,420,232,63,0,0,0,0,480,4,2009,12.128116509451258,1,0,0,0,0,0,0,1,0.0,14,16,1780,2.8
97,10264,7,5,1999,1999,183.0,426,1588,0,1588,3,1,6,0,1999.0,2,472,158,29,0,0,0,0,0,8,2006,12.273735966890268,0,0,1,0,0,0,1,0,0.0,12,7,2750,2.0
98,10921,4,5,1965,1965,48.0,440,960,0,960,3,1,6,0,1965.0,1,432,120,0,0,0,0,0,0,5,2007,11.459007676978688,0,0,0,1,0,0,0,1,0.0,9,42,1480,2.0
99,10625,5,5,1920,1950,0.0,350,458,0,835,2,1,5,0,1920.0,1,366,0,0,77,0,0,0,400,5,2010,11.326607934898927,0,0,0,1,0,0,0,1,0.0,10,60,943,1.0
100,9320,4,5,1959,1959,0.0,381,950,0,1225,3,1,6,0,1980.0,0,0,352,0,0,0,0,0,400,1,2010,11.767187766223199,0,0,0,1,0,0,0,1,0.0,9,51,1794,2.8
101,10603,6,7,1977,2001,28.0,410,1610,0,1610,3,1,6,2,1977.0,2,480,168,68,0,0,0,0,0,2,2010,12.230770136157428,0,0,0,1,0,0,1,0,0.0,13,9,2810,3.0
102,9206,6,5,1985,1985,336.0,741,741,0,1732,3,1,7,1,1985.0,2,476,192,46,0,0,0,0,0,6,2010,12.08954444723597,0,0,1,0,0,0,1,0,0.0,11,25,1732,2.8
103,7018,5,5,1979,1979,0.0,0,0,0,1535,4,2,8,0,1979.0,2,410,0,0,0,0,0,0,0,6,2009,11.68658461118553,0,0,0,1,0,0,0,1,0.0,10,30,1535,2.0
104,10402,7,5,2009,2009,0.0,1226,1226,0,1226,3,1,6,0,2009.0,3,740,0,36,0,0,0,0,0,5,2010,12.200562492481511,0,0,0,1,0,0,1,0,0.0,12,1,1226,2.0
105,7758,7,4,1931,1950,600.0,816,1040,0,1818,4,1,7,2,1951.0,1,240,0,0,0,0,184,0,0,6,2007,12.040614105490253,0,0,0,1,0,0,0,1,0.0,11,57,2042,1.8
106,9375,8,5,2003,2004,768.0,1053,1053,0,1992,3,1,9,1,2003.0,2,648,140,45,0,0,0,0,0,8,2008,12.429220196836383,0,0,1,0,0,0,1,0,1.0,13,4,1992,2.8
107,10800,4,7,1885,1995,0.0,641,641,0,1047,2,1,6,0,1954.0,1,273,0,0,0,0,0,0,450,8,2007,11.51293546492023,0,0,0,1,0,0,0,1,0.0,11,12,1047,1.0
108,6000,5,5,1948,1950,0.0,516,789,0,789,2,1,5,0,1948.0,1,250,0,0,0,0,0,0,0,4,2008,11.652696102959753,0,0,0,1,0,0,0,1,0.0,10,58,1062,1.0
109,8500,5,7,1919,2005,0.0,793,793,0,1517,3,1,7,0,1980.0,0,0,0,0,144,0,0,0,0,8,2007,11.652696102959753,0,0,0,1,0,1,0,0,0.0,12,2,1517,2.0
110,11751,6,6,1977,1977,480.0,1139,1844,0,1844,3,1,7,1,1977.0,2,546,0,122,0,0,0,0,0,1,2010,12.154784614286667,0,0,0,1,0,0,0,1,0.0,12,33,2549,2.0
111,9525,6,4,1954,1972,0.0,550,994,0,1855,4,1,7,0,1954.0,1,325,182,0,0,0,0,0,0,10,2006,11.827013315851762,0,0,0,1,0,0,0,1,0.0,10,34,2299,2.0
112,7750,7,5,2000,2000,0.0,134,384,0,1430,3,1,7,1,2000.0,2,400,180,0,0,0,0,0,0,4,2010,12.100717685412471,0,0,0,1,0,0,0,1,0.0,12,10,1680,2.8
113,9965,7,5,2007,2007,220.0,280,1264,0,2696,4,1,10,1,2007.0,3,792,120,184,0,0,168,0,0,10,2007,12.85832230788469,0,0,1,0,1,0,0,0,0.0,12,0,3680,3.8
114,21000,6,5,1953,1953,184.0,905,1809,0,2259,3,1,7,2,1953.0,2,450,166,120,192,0,0,0,0,10,2007,12.28765724080691,0,0,0,1,0,0,1,0,1.0,11,54,3163,3.0
115,7259,6,8,1945,2002,0.0,104,1028,0,2320,3,1,9,1,1945.0,1,180,224,0,0,0,0,0,0,7,2007,12.466515835145202,0,0,0,1,0,0,1,0,1.0,14,5,3244,3.8
116,3230,6,5,1999,1999,1129.0,310,729,0,1458,2,1,5,1,1999.0,2,440,0,32,0,0,0,0,0,6,2007,12.07824495582233,0,0,0,1,0,0,0,1,1.0,11,8,1877,2.8
117,11616,5,5,1962,1962,116.0,252,1092,0,1092,3,1,6,1,1962.0,1,288,0,20,144,0,0,0,0,9,2009,11.842236406331555,0,0,0,1,0,0,0,1,0.0,10,47,1932,1.8
118,8536,5,5,2006,2007,0.0,1125,1125,0,1125,2,1,5,0,2007.0,2,430,80,64,0,0,0,0,0,4,2007,11.951186847493476,0,0,0,1,0,0,0,1,0.0,10,0,1125,1.8
119,12376,7,5,1990,1990,0.0,203,1673,0,3222,5,1,11,2,1990.0,3,594,367,0,0,0,0,0,0,5,2010,12.676079399771027,0,0,0,1,0,0,1,0,0.0,12,20,4692,4.0
120,8461,6,5,2005,2006,0.0,728,728,0,1456,3,1,8,1,2005.0,2,390,0,24,0,0,0,0,0,7,2006,12.0075668272517,0,0,1,0,0,0,1,0,0.0,11,0,1456,2.8
121,21453,6,5,1969,1969,0.0,0,938,0,988,1,1,4,2,1969.0,2,540,0,130,0,130,0,0,0,10,2006,12.100717685412471,0,0,0,1,0,0,0,1,0.0,11,37,1926,2.0
122,6060,4,5,1939,1950,0.0,732,732,0,1123,3,1,4,0,1979.0,1,264,0,0,140,0,0,0,0,6,2007,11.51293546492023,0,0,0,1,0,0,0,1,0.0,9,57,1123,1.0
123,9464,6,7,1958,1958,135.0,510,1080,0,1080,3,1,5,0,1958.0,1,288,0,0,0,0,130,0,0,6,2008,11.820417517632333,0,0,0,1,0,0,0,1,0.0,13,50,1650,1.0
124,7892,6,5,1993,1993,0.0,899,1199,0,1199,2,1,5,0,1993.0,2,530,0,63,0,0,0,0,0,3,2008,11.944064817531656,0,0,1,0,0,0,1,0,0.0,11,15,1499,2.0
125,17043,6,5,1979,1998,0.0,1362,1362,0,1586,3,1,7,1,1979.0,2,435,192,0,0,0,0,0,0,1,2009,12.10625783509458,0,0,0,1,0,0,0,1,0.0,11,11,1586,2.0
126,6780,6,8,1935,1982,0.0,30,520,234,754,2,1,5,0,1980.0,0,0,53,0,0,0,0,0,0,6,2006,11.344518647594766,0,0,0,1,0,0,0,1,0.0,14,24,1010,2.0
127,4928,6,5,1976,1976,0.0,958,1078,0,958,2,1,5,1,1977.0,2,440,0,205,0,0,0,0,0,2,2007,11.759793355371237,0,0,0,1,0,0,0,1,0.0,11,31,1078,2.0
128,4388,5,7,1930,1950,0.0,556,672,0,840,3,1,5,1,1980.0,0,0,0,0,0,0,0,0,0,6,2007,11.373674891823535,0,0,0,1,0,0,0,1,0.0,12,57,956,1.0
129,7590,6,5,1966,1966,266.0,148,660,0,1348,3,1,6,1,1966.0,2,453,188,108,0,0,0,0,0,7,2006,11.951186847493476,0,0,0,1,0,0,0,1,0.0,11,40,1860,1.8
